id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count
49964,fa,خانه‌ی دوست کجاست؟,"An 8 year old boy must return his friend's notebook he took by mistake, lest his friend be punished by expulsion from school.",12.166,1987-07-01,Where Is My Friend's House?,7.9,239
804,en,Roman Holiday,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",17.46,1953-08-26,Roman Holiday,7.9,1651
406785,en,Inner Workings,"This is the story of the internal struggle between a man's Brain—a pragmatic protector who calculates his every move, and his Heart—a free-spirited adventurer who wants to let loose.",7.738,2016-11-23,Inner Workings,7.9,245
724495,en,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",4835.899,2022-09-15,The Woman King,7.9,552
56231,it,La classe operaia va in paradiso,A conscientious factory worker gets his finger cut off by a machine. The accident causes him to become more involved in political and revolutionary groups.,4.639,1971-09-17,The Working Class Goes to Heaven,7.9,290
1892,en,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",28.35,1983-05-25,Return of the Jedi,7.9,13524
579245,fr,Hors Normes,"For twenty years, Bruno and Malik have lived in a different world—the world of autistic children and teens. In charge of two separate nonprofit organizations (The Hatch & The Shelter), they train young people from underprivileged areas to be caregivers for extreme cases that have been refused by all other institutions. It’s an exceptional partnership, outside of traditional settings, for some quite extraordinary characters.",9.869,2019-10-23,The Specials,7.9,736
210577,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",46.782,2014-10-01,Gone Girl,7.9,16410
86000,ko,오직 그대만,"Cheol-Min, a man with a dark, picks up a part-time night job as a parking lot attendant. He sits in the tiny pay booth in the parking lot and stares at the small television. A woman named Jung-Hwa walks into the booth. Cheol-Min realizes the woman is blind and she is confusing him for the parking attendant who worked there previously.  Nevertheless, the woman comes back on another night to watch the same television drama series. Cheol-Min starts becoming attached to Jung-Hwa and they find out they are connected by the same incident in the past.",10.635,2011-10-20,Always,7.9,231
726684,fr,"Miraculous World: Shanghai, la légende de Ladydragon","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",91.296,2021-05-15,Miraculous World: Shanghai – The Legend of Ladydragon,7.9,488
13398,ja,東京ゴッドファーザーズ,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",16.762,2003-12-29,Tokyo Godfathers,7.9,930
16,en,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",12.718,2000-06-30,Dancer in the Dark,7.9,1478
631,en,Sunrise: A Song of Two Humans,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",9.755,1927-11-04,Sunrise: A Song of Two Humans,7.9,635
579792,es,Cindy La Regia,"When Cindy decides that she doesn't want to marry her boyfriend, she runs to Mexico City, where new friendships and unexpected paths teach her that there are so much more possibilities on her life and her talent than she imagines.",9.885,2020-01-24,Cindy La Regia,7.9,222
313369,en,La La Land,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",29.515,2016-11-29,La La Land,7.9,14696
22596,en,Safety Last!,"When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself.",9.96,1923-04-01,Safety Last!,7.9,376
746957,es,Ahí te encargo,An ad creative and a successful exec have a great marriage — until he wants to be a dad just as her star is rising. Then he brings someone new home.,12.384,2020-10-02,You've Got This,7.9,260
404378,en,A Street Cat Named Bob,"James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",19.998,2016-11-04,A Street Cat Named Bob,7.9,1162
379170,en,Sherlock: The Abominable Bride,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this holiday special.,19.897,2016-01-01,Sherlock: The Abominable Bride,7.9,2067
23160,hu,Werckmeister harmóniák,"This story takes place in a small town on the Hungarian Plain. In a provincial town, which is surrounded with nothing else but frost. It is bitterly cold weather — without snow. Even in this bewildered cold hundreds of people are standing around the circus tent, which is put up in the main square, to see — as the outcome of their wait — the chief attraction, the stuffed carcass of a real whale. The people are coming from everywhere. From the neighboring settlings, even from quite far away parts of the country. They are following this clumsy monster as a dumb, faceless, rag-wearing crowd. This strange state of affairs — the appearance of the foreigners, the extreme frost — disturbs the order of the small town. Ambitious personages of the story feel they can take advantage of this situation. The tension growing to the unbearable is brought to explosion by the figure of the Prince, who is pretending facelessness. Even his mere appearance is enough to break loose destructive emotions...",8.544,2000-07-12,Werckmeister Harmonies,7.9,246
705861,en,Hustle,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",61.123,2022-06-03,Hustle,7.9,1780
29455,sv,Nattvardsgästerna,"A Swedish pastor fails a loving woman, a suicidal fisherman and God.",9.666,1963-02-11,Winter Light,7.9,340
11036,en,The Notebook,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",62.119,2004-06-25,The Notebook,7.9,9945
1394,ru,Ностальгия,A Russian poet and his interpreter travel to Italy to research the life of an 18th-century composer.,10.78,1983-05-01,Nostalgia,7.9,409
597,en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",98.344,1997-11-18,Titanic,7.9,21844
180147,es,Nosotros los nobles,"Tells the ""riches to rags"" story of the Nobles, three upper-class twenty-somethings that appear to have no limits to their checkbooks, and no direction in their lives. Until one day, their father tries to teach them a lesson by staging a financial scandal that forces the whole family to escape to an old house in the poor side of town, and leads the ""kids"" to do what they haven't done before: get jobs.",21.263,2013-03-28,We Are the Nobles,7.9,429
11830,ja,タンポポ,"In this humorous paean to the joys of food, a pair of truck drivers happen onto a decrepit roadside shop selling ramen noodles. The widowed owner, Tampopo, begs them to help her turn her establishment into a paragon of the ""art of noodle-soup making"". Interspersed are vignettes about the importance of food to different aspects of human life.",11.43,1985-11-23,Tampopo,7.9,258
391,it,Per un pugno di dollari,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",19.587,1964-01-18,A Fistful of Dollars,7.9,3482
11293,en,Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl—who may or may not be his daughter—and the two forge an unlikely partnership.",9.87,1973-05-09,Paper Moon,7.9,555
827,fr,Les Diaboliques,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.",12.799,1955-01-29,Diabolique,7.9,754
393,en,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",30.562,2004-04-16,Kill Bill: Vol. 2,7.9,12181
301,en,Rio Bravo,"The sheriff of a small town in southwest Texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. After a friend is killed trying to muster support for him, he and his deputies - a disgraced drunk and a cantankerous old cripple - must find a way to hold out against the rancher's hired guns until the marshal arrives. In the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach.",21.097,1959-03-17,Rio Bravo,7.9,910
48035,da,Ordet,"The three sons of devout Danish farmer Morten have widely disparate religious beliefs. Youngest son Anders shares his father's religion, but eldest son Mikkel has lost his faith, while middle child Johannes has become delusional and proclaims that he is Jesus Christ himself. When Mikkel's wife, Inger goes into a difficult childbirth, everyone's beliefs are put to the test.",9.904,1955-01-09,Ordet,7.9,284
3078,en,It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",12.433,1934-02-22,It Happened One Night,7.9,975
381341,it,Perfetti sconosciuti,"During a dinner, a group of friends decide to share whatever message or phone call they will receive during the evening, with unforeseen consequences.",12.694,2016-02-11,Perfect Strangers,7.9,3973
833,it,Umberto D.,"When elderly pensioner Umberto Domenico Ferrari returns to his boarding house from a protest calling for a hike in old-age pensions, his landlady demands her 15,000-lire rent by the end of the month or he and his small dog will be turned out onto the street. Unable to get the money in time, Umberto fakes illness to get sent to a hospital, giving his beloved dog to the landlady's pregnant and abandoned maid for temporary safekeeping.",9.998,1952-01-20,Umberto D.,7.9,532
275,en,Fargo,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",18.462,1996-03-08,Fargo,7.9,6736
430424,fr,Au revoir là-haut,"In November 1918, a few days before the Armistice, when Lieutenant Pradelle orders a senseless attack, he causes a useless disaster; but his outrageous act also binds the lives of two soldiers who have nothing more in common than the battlefield: Édouard saves Albert, although at a high cost. They become companions in misfortune who will attempt to survive in a changing world. Pradelle, in his own way, does the same.",12.124,2017-10-25,See You Up There,7.9,1108
16390,en,Scooby-Doo! and the Samurai Sword,"The Mystery Inc. gang takes a trip to Japan and finds themselves circling Asia and the Pacific in a treasure hunt, racing against the vengeful Black Samurai and his Ninja warriors to find the legendary Sword of Fate, an ancient blade fabled to possess extraordinary supernatural powers.",14.258,2009-04-07,Scooby-Doo! and the Samurai Sword,7.9,214
266856,en,The Theory of Everything,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",26.204,2014-11-26,The Theory of Everything,7.9,9636
779047,en,Us Again,"In a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night.",8.202,2021-03-03,Us Again,7.9,260
83564,en,La luna,"A young boy comes of age in the most peculiar of circumstances. Tonight is the very first time his Papa and Grandpa are taking him to work. In an old wooden boat they row far out to sea, and with no land in sight, they stop and wait. A big surprise awaits the boy as he discovers his family's most unusual line of work. Should he follow the example of his Papa, or his Grandpa? Will he be able to find his own way in the midst of their conflicting opinions and timeworn traditions?",8.542,2012-02-10,La luna,7.9,694
235,en,Stand by Me,"Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",21.1,1986-08-08,Stand by Me,7.9,4807
10997,zh,霸王别姬,"Abandoned by his prostitute mother in 1920, Douzi was raised by a theater troupe. There he meets Shitou and over the following years the two develop an act entitled ""Farewell My Concubine"" that brings them fame and fortune. When Shitou marries Juxian, Douzi becomes jealous, the beginnings of the acting duo's explosive breakup and tragic fall take root.",14.713,1993-01-01,Farewell My Concubine,7.9,422
445030,ja,ノーゲーム・ノーライフ ゼロ,"In ancient Disboard, Riku is an angry, young warrior intent on saving humanity from the warring Exceed, the sixteen sentient species, fighting to establish the ""One True God"" amongst the Old Deus. In a lawless land, humanity's lack of magic and weak bodies have made them easy targets, leaving them on the brink of extinction. One day, hope returns to humanity when Riku finds a powerful female Ex-machina, whom he names Schwi. Exiled from her Cluster because of her research into human emotions, Schwi is convinced that humanity has only survived due to the power of these feelings. Forming an unlikely partnership in the midst of the overwhelming chaos, Riku and Schwi must now find the answers to their individual shortcomings in each other, and discover for themselves what it truly means to be human as they fight for their lives against all odds. Each with a powerful new ally in tow, it is now up to them to prevent the extinction of the human race and establish peace throughout Disboard!",20.101,2017-07-15,No Game No Life: Zero,7.9,297
1675,fr,La Nuit américaine,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",10.495,1973-05-24,Day for Night,7.9,501
5511,fr,Le Samouraï,"After carrying out a flawlessly planned hit, Jef Costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",11.696,1967-10-25,Le Samouraï,7.9,804
946,en,Letter from an Unknown Woman,"A pianist about to flee from a duel receives a letter from a woman he cannot remember. As she tells the story of her lifelong love for him, he is forced to reinterpret his own past.",7.531,1948-04-28,Letter from an Unknown Woman,7.9,237
650031,da,Skyggen i mit øje,"On March 21st, 1945, the British Royal Air Force set out on a mission to bomb Gestapo's headquarters in Copenhagen. The raid had fatal consequences as some of the bombers accidentally targeted a school and more than 120 people were killed, 86 of whom were children.",20.522,2021-10-28,The Shadow in My Eye,7.9,327
152601,en,Her,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",33.018,2013-12-18,Her,7.9,12578
20873,ru,Бриллиантовая рука,"In the southern town, a gang of ""currency traders"" is operating, led by the Chief and his assistant Kozodoyev. A modest Soviet clerk and an exemplary family man Semyon Semyonovich Gorbunkov goes on a foreign cruise on a motor ship, on which Kozodoyev also sailed, who must pick up diamonds in one of the eastern cities and transport them in a plaster hand. But due to a misunderstanding, instead of a swindler, an unsuspecting Gorbunkov falls in the appointed place, and a precious plaster is imposed on him. That's where it all starts...",8.575,1968-02-02,The Diamond Arm,7.9,220
12903,en,Scooby-Doo! and the Goblin King,"Scooby-Doo and Shaggy must go into the underworld ruled by The Goblin King in order to stop a mortal named The Amazing Krudsky who wants power and is a threat to their pals: Fred, Velma, and Daphne.",17.743,2008-09-23,Scooby-Doo! and the Goblin King,7.9,208
593,ru,Солярис,A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor and the mental problems of cosmonauts on the station. He soon discovers that the water on the planet is a type of brain which brings out repressed memories and obsessions.,14.355,1972-03-20,Solaris,7.9,1281
505192,ja,万引き家族,"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them.",13.55,2018-06-02,Shoplifters,7.9,1663
399174,en,Isle of Dogs,"In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island that's a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.",14.394,2018-03-23,Isle of Dogs,7.9,4082
503314,ja,ドラゴンボール超スーパー ブロリー,"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",31.241,2018-12-14,Dragon Ball Super: Broly,7.9,2482
10774,en,Network,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings.",14.225,1976-11-14,Network,7.9,1371
93,en,Anatomy of a Murder,"A virtuoso James Stewart plays a small-town Michigan lawyer who takes on a difficult case: the defense of a young army lieutenant (Ben Gazzara) accused of murdering a local tavern owner who he believes raped his wife (Lee Remick). This gripping envelope-pusher, the most popular film by Hollywood provocateur Otto Preminger, was groundbreaking for the frankness of its discussion of sex—but more than anything else, it is a striking depiction of the power of words. Featuring an outstanding supporting cast—with a young George C. Scott as a fiery prosecutor and the legendary attorney Joseph N. Welch as the judge—and an influential score by Duke Ellington, Anatomy of a Murder is an American movie landmark, nominated for seven Oscars, including best picture.",10.518,1959-07-01,Anatomy of a Murder,7.9,762
766507,en,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",368.522,2022-08-02,Prey,7.9,4697
712454,fr,Le Sommet des dieux,A photojournalist’s obsessive quest for the truth about the first expedition to Mt. Everest leads him to search for an esteemed climber who went missing.,11.415,2021-09-22,The Summit of the Gods,7.9,239
564427,pt,Minha Vida em Marte,"With the help of her best friend, Fernanda now has to deal with the perks of being married, or perhaps unmarried.",5.883,2018-12-27,Minha Vida em Marte,7.9,267
398924,fr,Un sac de billes,"In occupied France, Maurice and Joseph, two young Jewish brothers left to their own devices demonstrate an incredible amount of cleverness, courage, and ingenuity to escape the enemy invasion and to try to reunite their family once again.",8.465,2017-01-18,A Bag of Marbles,7.9,744
348892,hi,बजरंगी भाईजान,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,12.727,2015-07-17,Bajrangi Bhaijaan,7.9,381
934,fr,Du rififi chez les hommes,"Out of prison after a five-year stretch, jewel thief Tony turns down a quick job his friend Jo offers him, until he discovers that his old girlfriend Mado has become the lover of local gangster Pierre Grutter during Tony's absence. Expanding a minor smash-and-grab into a full-scale jewel heist, Tony and his crew appear to get away clean, but their actions after the job is completed threaten the lives of everyone involved.",10.84,1955-04-13,Rififi,7.9,427
581,en,Dances with Wolves,"Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",24.749,1990-03-30,Dances with Wolves,7.9,3533
546554,en,Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",53.404,2019-11-27,Knives Out,7.9,9563
367412,en,Whiplash,"A ferocious, bullying music teacher teaches a dedicated student. This is the 18 minute short film that the feature film was based on.",8.304,2013-01-18,Whiplash,7.9,279
668461,en,Slumberland,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",873.986,2022-11-09,Slumberland,7.8,311
14574,en,The Boy in the Striped Pyjamas,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",58.419,2008-05-07,The Boy in the Striped Pyjamas,7.9,6106
453,en,A Beautiful Mind,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",32.034,2001-12-11,A Beautiful Mind,7.9,8893
33320,ja,千年女優,"Documentary filmmaker Genya Tachibana has tracked down the legendary actress Chiyoko Fujiwara, who mysteriously vanished at the height of her career. When he presents her with a key she had lost and thought was gone forever, the filmmaker could not have imagined that it would not only unlock the long-held secrets of Chiyoko’s life... but also his own.",16.125,2002-09-14,Millennium Actress,7.9,605
32480,it,Il marchese del Grillo,"The marquess of Grillo is a good-natured, clever and women-loving man who is always inventing stories and cracking all types of jokes. The film tells the story of his life.",6.372,1981-12-23,The Marquis of Grillo,7.9,402
756999,en,The Black Phone,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",193.753,2022-06-22,The Black Phone,7.8,3157
2721,fr,Z,"Amidst a heated political climate, the opposition leader is killed in what appears to be a traffic accident. When a magistrate finds evidence of a government cover-up, witnesses start to get targeted. A thinly-fictionalized account of the events surrounding the assassination of Greek politician Grigoris Lambrakis in 1963, Z captures the outrage about the military junta that ruled Greece at the time.",10.975,1969-02-26,Z,7.8,346
22843,ja,ヱヴァンゲリヲン新劇場版：破,"Under constant attack by monstrous creatures called Angels that seek to eradicate humankind, U.N. Special Agency NERV introduces two new EVA pilots to help defend the city of Tokyo-3: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Meanwhile, Gendo Ikari and SEELE proceed with a secret project that involves both Rei and Shinji.",27.153,2009-06-26,Evangelion: 2.0 You Can (Not) Advance,7.8,674
359156,it,Non essere cattivo,"A story set in the 90s and in the outskirts of Rome to Ostia. A world where money, luxury cars, night clubs, cocaine and synthetic drugs are easy to run. A world in which Vittorio and Cesare, in their early twenties, act in search of their success.",6.884,2015-09-08,Don't Be Bad,7.8,833
317442,ja,The Last: Naruto the Movie,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.",92.205,2014-12-06,The Last: Naruto the Movie,7.8,1420
24238,en,Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",13.011,2009-02-09,Mary and Max,7.8,1617
115,en,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",29.351,1998-03-06,The Big Lebowski,7.8,9716
265195,es,Relatos salvajes,Six deadly stories that explore the extremities of human behaviour involving distressed people seeking revenge.,15.038,2014-08-21,Wild Tales,7.8,2804
71157,fr,Polisse,"Paris, France. Fred and his colleagues, members of the BPM, the Police Child Protection Unit, dedicated to pursuing all sorts of offenses committed against the weakest, must endure the scrutiny of Melissa, a photographer commissioned to graphically document the daily routine of the team.",11.018,2011-10-06,Polisse,7.8,1029
30588,en,Monsieur Verdoux,"The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine.",11.583,1947-09-26,Monsieur Verdoux,7.8,326
25538,zh,一一,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank and his business partners make bad decisions.",14.504,2000-09-20,Yi Yi,7.8,399
16859,ja,魔女の宅急便,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",41.822,1989-07-29,Kiki's Delivery Service,7.8,3209
16804,ja,おくりびと,"Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant.",11.369,2008-09-13,Departures,7.8,667
596,en,The Grapes of Wrath,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.",14.567,1940-03-15,The Grapes of Wrath,7.8,776
51482,ja,Death Note: デスノート,"Yagami Light is an ace student with great prospects, who's bored out of his mind. One day he finds the ""Death Note"": a notebook from the realm of the Death Gods, with the power to kill people in any way he desires. With the Death Note in hand, Light decides to create his perfect world, without crime or criminals. However, when criminals start dropping dead one by one, the authorites send the legendary detective L to track down the killer, and a battle of wits, deception and logic ensues...this was aired on Japanese tv shortly after the death note anime was completed, this special basically re-cuts the first 26 episodes of the series into a two hour movie with some new scenes and dialogue added and the story is seen from ryuk's viewpoint.",27.174,2007-08-31,Death Note Relight 1: Visions of a God,7.8,202
677638,en,We Bare Bears: The Movie,"When Grizz, Panda, and Ice Bear's love of food trucks and viral videos get out of hand, the brothers are now chased away from their home and embark on a trip to Canada, where they can live in peace.",39.153,2020-06-30,We Bare Bears: The Movie,7.8,737
293299,en,Feast,"This Oscar-winning animated short film tells the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through the meals they share.",10.324,2014-10-25,Feast,7.8,781
59440,en,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",37.597,2011-09-09,Warrior,7.8,3883
5924,en,Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",22.776,1973-12-13,Papillon,7.8,1574
185789,en,Mulholland Dr.,"Initially, ""Mulholland Dr."" was to mark David Lynch's return to television. It is a retooling of a script originally shot as a 94-minute pilot for a TV series (co-written with TV screenwriter Joyce Eliason) for the channel ABC, which had approved the script, but chose not even to air the pilot once it was done in 1999, despite Lynch's labours to cut the project to their liking. It was left in limbo until 18 month later French company Studio Canal Plus (also producer of 'The Straight Story') agreed to pay ABC $7 million for the pilot, and budget a few million more to turn the pilot into a two-hour, 27-minute movie. The cost of the film doubled to $14 million as sets had to be reconstructed and actors recalled.",8.981,1999-01-01,Mulholland Dr.,7.8,401
9479,en,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",90.588,1993-10-09,The Nightmare Before Christmas,7.8,7900
2440,ko,공동경비구역 JSA,"Two North Korean soldiers are killed in the border area between North and South Korea, prompting an investigation by a neutral body. The sergeant is the shooter, but the lead investigator, a Swiss-Korean woman, receives differing accounts from the two sides.",14.805,2000-09-09,Joint Security Area,7.8,506
665,en,Ben-Hur,"In 25 AD,Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...",29.964,1959-11-18,Ben-Hur,7.8,2221
